0	1	2	3	4	5	6
AC145212.2	0	0	0	0	0	0	0
AC145212.4	0	0	0	0	0	0	0
AC147651.4	0	0	0	0	0	0	0
AC159540.1	0	0	0	0	0	0	0
AC195454.1	0	0	0	0	0	0	0
AC240274.1	0	0	0	0	0	0	0
AC241377.2	0	0	0	0	0	0	0
AC241585.2	0	0	0	0	0	0	0
AC245100.1	0	0	0	0	0	0	0
AC253572.1	0	0	0	0	0	0	0
ACAA1	0	0	0	0	0	0	0
ACAA2	0	0	0	0	0	0	0
ACACA	0	0	0	0	0	0	0
ACACB	0	0	0	0	0	0	0
ACAD10	0	0	0	0	0	0	0
ACAD11	0	0	0	0	0	0	0
ACAD8	0	0	0	0	0	0	0
ACAD9	0	0	0	0	0	0	0
ACADM	0	0	0	0	0	0	0
ACADS	0	0	0	0	0	0	0
ACADSB	0	0	0	0	0	0	0
ACADVL	0	0	0	0	0	0	0
ACAP1	0	0	0	0	0	0	0
ACAP2	0	0	0	0	0	0	0
ACAP3	0	0	0	0	0	0	0
ACAT1	0	0	0	0	0	0	0
ACAT2	0	0	0	0	0	0	0
ACBD3	0	0	0	0	0	0	0
ACBD4	0	0	0	0	0	0	0
ACBD5	0	0	0	0	0	0	0
ACBD6	0	0	0	0	0	0	0
ACCS	0	0	0	0	0	0	0
ACD	0	0	0	0	0	0	0
ACE	0	0	0	0	0	0	0
ACER1	0	0	0	0	0	0	0
ACER3	0	0	0	0	0	0	0
ACHE	0	0	0	0	0	0	0
ACIN1	0	0	0	0	0	0	0
ACKR3	0	0	0	0	0	0	0
ACLY	0	0	0	0	0	0	0
ACO1	0	0	0	0	0	0	0
ACO2	0	0	0	0	0	0	0
ACOT1	0	0	0	0	0	0	0
ACOT11	0	0	0	0	0	0	0
ACOT13	0	0	0	0	0	0	0
ACOT2	0	0	0	0	0	0	0
ACOT4	0	0	0	0	0	0	0
ACOT7	0	0	0	0	0	0	0
ACOT8	0	0	0	0	0	0	0
ACOT9	0	0	0	0	0	0	0
ACOX1	0	0	0	0	0	0	0
ACOX3	0	0	0	0	0	0	0
ACP1	0	0	0	0	0	0	0
ACP2	0	0	0	0	0	0	0
ACP5	0	0	0	0	0	0	0
